t=2026-09-24T20:37:35+0530 lvl=info msg="no configuration paths supplied"
t=2026-09-24T20:37:35+0530 lvl=info msg="using configuration at default config path" path="/Users/ramavathvarun/Library/Application Support/ngrok/ngrok.yml"
t=2026-09-24T20:37:35+0530 lvl=info msg="open config file" path="/Users/ramavathvarun/Library/Application Support/ngrok/ngrok.yml" err=<nil>
t=2026-09-24T20:37:35+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-09-24T20:37:35+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-09-24T20:37:36+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-09-24T20:37:36+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-09-24T20:37:36+0530 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:5001 url=https://adele-unfocused-scientistically.ngrok-free.dev
t=2026-09-24T20:39:42+0530 lvl=info msg="join connections" obj=join id=405b690104f6 l=127.0.0.1:5001 r=106.192.16.111:44012
t=2026-09-24T20:39:42+0530 lvl=info msg="join connections" obj=join id=0dc60871a291 l=127.0.0.1:5001 r=106.192.16.111:44012
t=2026-09-24T20:39:42+0530 lvl=info msg="join connections" obj=join id=814f18a2a06b l=127.0.0.1:5001 r=106.192.16.111:44012
t=2026-09-24T20:39:42+0530 lvl=info msg="join connections" obj=join id=2c3a0f27d4e4 l=127.0.0.1:5001 r=106.192.16.111:44012
t=2026-09-24T20:39:42+0530 lvl=info msg="join connections" obj=join id=5b49de8eed4c l=127.0.0.1:5001 r=106.192.16.111:44012
t=2026-09-24T20:39:43+0530 lvl=info msg="join connections" obj=join id=585afb7e692f l=127.0.0.1:5001 r=106.192.16.111:44012
t=2026-09-24T20:39:43+0530 lvl=info msg="join connections" obj=join id=537ca8189108 l=127.0.0.1:5001 r=106.192.16.111:44012
t=2026-09-24T20:39:44+0530 lvl=info msg="join connections" obj=join id=603dc5ce5b64 l=127.0.0.1:5001 r=106.192.16.111:44056
t=2026-09-24T20:39:45+0530 lvl=info msg="join connections" obj=join id=79a9756a0415 l=127.0.0.1:5001 r=106.192.16.111:44012
